,track_id,race_date,race_number,program_number,trakus_index,latitude,longitude,distance_id,course_type,track_condition,run_up_distance,race_type,purse,post_time,weight_carried,jockey,odds,position_at_finish,horse_pk,win,rid,horse_id,horse_name,timestamp,run_id,distance_km,speed_kmh,pctComplete,Stage
3284212,BEL,2019-06-29,3,8,19,40.7159490203163,-73.7190664856848,700,T,FM ,102,MSW,62000.0,234,118,Manuel Franco,1350,5,BEL_2019-06-29_3_8,0,BEL_2019-06-29_3,2013,I'm Elmer J Fudd,2019-06-29 14:34:04.750,BEL_2019-06-29_3_2013,0.0048219665904044515,69.4363189018241,0.05,1
686833,AQU,2019-04-18,3,2,128,40.6697544048806,-73.8304608777678,850,T,FM ,82,CLM,48000.0,230,124,Kendrick Carmouche,640,6,AQU_2019-04-18_3_2,0,AQU_2019-04-18_3,868,Heavy Meddle,2019-04-18 14:30:32.000,AQU_2019-04-18_3_868,0.004678119081461988,67.36491477305263,0.32,2
2093895,BEL,2019-05-18,5,2,245,40.7134076404783,-73.7230751067069,600,D,FT ,56,CLM,28000.0,208,125,Reylu Gutierrez,790,1,BEL_2019-05-18_5_2,1,BEL_2019-05-18_5,1231,Sams Last Ghasp,2019-05-18 14:09:01.250,BEL_2019-05-18_5_1231,0.0044684690328565604,64.34595407313446,0.86,4
3610412,AQU,2019-02-08,8,1A,267,40.6719450434043,-73.8317596502248,600,D,SY ,48,MCL,35000.0,433,115,Reylu Gutierrez,140,2,AQU_2019-02-08_8_1A,0,AQU_2019-02-08_8,894,Seed Money,2019-02-08 16:34:06.750,AQU_2019-02-08_8_894,0.003955734910620637,56.96258271293717,0.75,3
3772334,AQU,2019-04-14,9,8,235,40.6736898031721,-73.8280034461753,850,T,GD ,76,MCL,41000.0,543,118,Eric Cancel,2120,4,AQU_2019-04-14_9_8,0,AQU_2019-04-14_9,994,Millionaire Joe,2019-04-14 17:43:58.750,AQU_2019-04-14_9_994,0.0045829852352874895,65.99498738813985,0.57,3
1229906,AQU,2019-03-16,6,2,20,40.6689186123765,-73.8294260120543,700,D,FT ,44,CLM,28000.0,433,120,Andre Shivnarine Worrie,170,1,AQU_2019-03-16_6_2,1,AQU_2019-03-16_6,408,Desert Lights,2019-03-16 16:33:05.000,AQU_2019-03-16_6_408,0.00409267027059088,58.934451896508676,0.05,1
1506467,AQU,2019-12-05,2,7,316,40.6728854394671,-73.8313011491209,800,D,GD ,54,ALW,75000.0,1249,116,Declan Carroll,870,3,AQU_2019-12-05_2_7,0,AQU_2019-12-05_2,299,Foolish Ghost,2019-12-05 12:50:19.000,AQU_2019-12-05_2_299,0.004393170301423677,63.261652340500945,0.84,4
785143,BEL,2019-06-08,12,2,46,40.7131831110909,-73.7191728480388,900,I,FM ,72,AOC,95000.0,728,122,Charles C. Lopez,3975,4,BEL_2019-06-08_12_2,0,BEL_2019-06-08_12,3338,Cheyenne's Colonel,2019-06-08 19:28:11.500,BEL_2019-06-08_12_3338,0.004469056976538003,64.35442046214725,0.11,1
4746971,SAR,2019-08-23,1,11,12,43.0699315847438,-73.7694163815879,550,T,GD ,75,MSW,78000.0,100,119,Ricardo Santana Jr.,1360,9,SAR_2019-08-23_1_11,0,SAR_2019-08-23_1,1597,Desbordes,2019-08-23 13:00:03.000,SAR_2019-08-23_1_1597,0.003914833352209243,56.3736002718131,0.04,1
4124533,SAR,2019-08-31,9,10,239,43.0734996857135,-73.7677098231457,700,D,FT ,32,ALW,92000.0,458,120,Junior Alvarado,1000,8,SAR_2019-08-31_9_10,0,SAR_2019-08-31_9,3728,Brucia La Terra,2019-08-31 16:58:59.750,SAR_2019-08-31_9_3728,0.004644723768923431,66.8840222724974,0.71,3
3838355,AQU,2019-04-12,4,11,171,40.6748657957458,-73.8300167512744,600,O,FM ,48,MCL,41000.0,305,119,Rajiv Maragh,8575,10,AQU_2019-04-12_4_11,0,AQU_2019-04-12_4,885,Ravenbro,2019-04-12 15:05:42.750,AQU_2019-04-12_4_885,0.004959733881700406,71.42016789648585,0.61,3
3251008,AQU,2019-11-20,1,4,103,40.6743055956882,-73.8270967316516,600,D,GD ,38,MCL,30000.0,1220,122,Manuel Franco,650,4,AQU_2019-11-20_1_4,0,AQU_2019-11-20_1,422,Coast to Coast,2019-11-20 12:20:25.750,AQU_2019-11-20_1_422,0.004748016556515197,68.37143841381884,0.34,2
4899042,AQU,2019-12-05,9,6,260,40.6719433408273,-73.8317570149516,600,D,GD ,36,MSW,62000.0,414,119,Jose Lezcano,440,5,AQU_2019-12-05_9_6,0,AQU_2019-12-05_9,2600,Brewman,2019-12-05 16:15:05.000,AQU_2019-12-05_9_2600,0.004303054308346791,61.9639820401938,0.87,4
4209536,AQU,2019-03-16,8,3,67,40.6718165462944,-73.8280867090283,650,D,FT ,38,AOC,64000.0,540,120,Eric Cancel,280,5,AQU_2019-03-16_8_3,0,AQU_2019-03-16_8,427,Show Prince,2019-03-16 17:40:16.750,AQU_2019-03-16_8_427,0.005318687973146369,76.58910681330771,0.21,1
2278806,AQU,2019-02-03,1,3,25,40.6674932224407,-73.8300527866934,800,D,FT ,54,ALW,70000.0,1250,123,Junior Alvarado,160,1,AQU_2019-02-03_1_3,1,AQU_2019-02-03_1,227,New Year's Wish,2019-02-03 12:50:06.250,AQU_2019-02-03_1_227,0.004765493696430434,68.62310922859825,0.06,1
4152824,AQU,2019-11-07,2,1,150,40.6755429095377,-73.8293520586681,600,D,FT ,38,MCL,30000.0,1249,122,Irad Ortiz Jr.,430,1,AQU_2019-11-07_2_1,1,AQU_2019-11-07_2,1739,Trans Mississippi,2019-11-07 12:49:37.500,AQU_2019-11-07_2_1739,0.004890872926756106,70.42857014528792,0.52,3
1578790,BEL,2019-06-28,7,9,332,40.713684152095,-73.7230786155044,800,T,FM ,75,STR,55000.0,445,125,Jose L. Ortiz,300,5,BEL_2019-06-28_7_9,0,BEL_2019-06-28_7,3160,Architect,2019-06-28 16:46:23.000,BEL_2019-06-28_7_3160,0.0046967512162212005,67.6332175135853,0.91,4
4869514,AQU,2019-11-09,10,13,317,40.6717956149764,-73.8317987728862,700,D,FT ,45,MSW,70000.0,420,119,Samuel Camacho Jr.,5550,10,AQU_2019-11-09_10_13,0,AQU_2019-11-09_10,1918,Manolito,2019-11-09 16:21:19.250,AQU_2019-11-09_10_1918,0.0035942226909696467,51.75680674996291,0.92,4
3480428,AQU,2019-02-03,6,6,297,40.6712945401453,-73.8321010804943,650,D,FT ,36,MSW,60000.0,326,120,Eric Cancel,6075,7,AQU_2019-02-03_6_6,0,AQU_2019-02-03_6,834,Dancing Slippers,2019-02-03 15:27:14.250,AQU_2019-02-03_6_834,0.0037614399845376767,54.16473577734254,0.89,4
3472761,BEL,2019-05-02,5,7,1,40.7142839997916,-73.716921567601,800,T,GD ,112,CLM,60000.0,340,118,Javier Castellano,155,1,BEL_2019-05-02_5_7,1,BEL_2019-05-02_5,2912,Retro Street,2019-05-02 15:40:00.250,BEL_2019-05-02_5_2912,0.0,0.0,0.0,1
3121562,AQU,2019-02-23,4,4,277,40.67105791912,-73.8321971662325,600,D,FT ,45,MSW,60000.0,226,120,Rajiv Maragh,2825,4,AQU_2019-02-23_4_4,0,AQU_2019-02-23_4,1041,Lady Macho,2019-02-23 14:27:09.250,AQU_2019-02-23_4_1041,0.004130862244818961,59.48441632539304,0.95,4
5191648,BEL,2019-06-23,3,3,337,40.714050854692,-73.7235853914956,850,I,FM ,56,AOC,87000.0,234,122,Javier Castellano,335,4,BEL_2019-06-23_3_3,0,BEL_2019-06-23_3,3473,Xenobia (IRE),2019-06-23 14:35:24.250,BEL_2019-06-23_3_3473,0.004880134465421859,70.27393630207477,0.85,4
492640,BEL,2019-05-17,6,1,106,40.7171705776344,-73.7254932121903,600,I,GD ,138,AOC,70000.0,409,121,Dylan Davis,730,5,BEL_2019-05-17_6_1,0,BEL_2019-05-17_6,3059,Alien Season,2019-05-17 16:09:26.500,BEL_2019-05-17_6_3059,0.005101664775833393,73.46397277200086,0.37,2
2050692,AQU,2019-02-23,5,1,284,40.6710064242125,-73.8321762456239,600,D,FT ,45,ALW,64000.0,253,121,Jose Lezcano,230,5,AQU_2019-02-23_5_1,0,AQU_2019-02-23_5,1048,Wushu Warrior,2019-02-23 14:54:11.000,AQU_2019-02-23_5_1048,0.003584944129380543,51.62319546307982,0.99,4
4540368,AQU,2019-11-02,2,6,45,40.6711642095083,-73.8287531795423,600,O,GD ,45,MSW,62000.0,1231,119,Rajiv Maragh,4075,2,AQU_2019-11-02_2_6,0,AQU_2019-11-02_2,1626,Sanctuary City,2019-11-02 12:31:11.250,AQU_2019-11-02_2_1626,0.005319898368523752,76.60653650674203,0.14,1
644710,SAR,2019-07-12,3,7,75,43.0707361988837,-73.7725013729007,850,T,YL ,126,AOC,95000.0,212,122,Luis R. Reyes,4500,6,SAR_2019-07-12_3_7,0,SAR_2019-07-12_3,751,Tanya's Gem,2019-07-12 14:12:18.750,SAR_2019-07-12_3_751,0.004948703428029256,71.26132936362129,0.18,1
4239290,AQU,2019-03-29,6,2,162,40.6748186797816,-73.8304087358384,550,D,FT ,48,MCL,33000.0,422,120,Reylu Gutierrez,210,2,AQU_2019-03-29_6_2,0,AQU_2019-03-29_6,706,Never Felt Better,2019-03-29 16:22:40.500,AQU_2019-03-29_6_706,0.004849910626720372,69.83871302477336,0.59,3
829095,BEL,2019-05-04,7,7,385,40.7131216956215,-73.7220448460882,850,D,SY ,44,CLM,50000.0,312,124,Kendrick Carmouche,315,1,BEL_2019-05-04_7_7,1,BEL_2019-05-04_7,2937,Patriot Drive,2019-05-04 15:13:36.250,BEL_2019-05-04_7_2937,0.004179429630515856,60.18378667942832,0.95,4
1920224,BEL,2019-10-19,10,4,218,40.7161247995911,-73.7279585842869,800,D,FT ,78,STK,250000.0,521,118,Junior Alvarado,2040,2,BEL_2019-10-19_10_4,0,BEL_2019-10-19_10,1536,Our Super Nova,2019-10-19 17:21:54.500,BEL_2019-10-19_10_1536,0.004748718877130478,68.38155183067889,0.57,3
510222,AQU,2019-03-23,5,6,106,40.6710671106361,-73.8284043978438,800,D,FT ,54,CLM,24000.0,400,119,Carlos J. Hernandez,3100,7,AQU_2019-03-23_5_6,0,AQU_2019-03-23_5,353,Quai Voltaire,2019-03-23 16:00:26.500,AQU_2019-03-23_5_353,0.004990069671158249,71.8570032646788,0.26,2
2890867,SAR,2019-08-24,11,6,10,43.0731709125931,-73.7686692967364,1000,D,FT ,65,STK,1250000.0,550,126,Jose L. Ortiz,240,2,SAR_2019-08-24_11_6,0,SAR_2019-08-24_11,1324,Tacitus,2019-08-24 17:50:02.500,SAR_2019-08-24_11_1324,0.0038301862813010347,55.1546824507349,0.02,1
3804463,AQU,2019-03-16,7,1,31,40.6712608797336,-73.8283572216816,600,D,FT ,45,CLM,50000.0,505,121,Junior Alvarado,345,5,AQU_2019-03-16_7_1,0,AQU_2019-03-16_7,981,Thesis,2019-03-16 17:05:07.750,AQU_2019-03-16_7_981,0.005070209886478147,73.01102236528531,0.1,1
3075675,BEL,2019-06-29,1,1,45,40.7161869462746,-73.7193720962243,800,D,FT ,52,MCL,46000.0,132,118,Dylan Davis,1680,5,BEL_2019-06-29_1_1,0,BEL_2019-06-29_1,2049,Single Focus,2019-06-29 13:32:11.250,BEL_2019-06-29_1_2049,0.005169295043469293,74.43784862595783,0.12,1
1906908,AQU,2019-01-04,7,6,413,40.6718149325203,-73.8318193692591,900,D,FT ,98,AOC,67000.0,359,121,Manuel Franco,195,6,AQU_2019-01-04_7_6,0,AQU_2019-01-04_7,105,Singapore Trader,2019-01-04 16:00:43.250,AQU_2019-01-04_7_105,0.003602154312516274,51.87102210023434,0.94,4
4149665,BEL,2019-05-18,12,5,221,40.7172154481324,-73.7259611523847,850,I,GD ,72,MCL,41000.0,605,118,Samuel Camacho Jr.,5775,4,BEL_2019-05-18_12_5,0,BEL_2019-05-18_12,1209,Hurricane Andrew,2019-05-18 18:05:55.250,BEL_2019-05-18_12_1209,0.005023056489034821,72.33201344210143,0.53,3
3934003,AQU,2019-03-31,8,2,2,40.6668330670166,-73.8303627956828,800,D,GD ,54,STK,100000.0,533,118,Jevian Toledo,1620,1,AQU_2019-03-31_8_2,1,AQU_2019-03-31_8,1275,Pat's No Fool,2019-03-31 17:33:00.500,AQU_2019-03-31_8_1275,0.0011903579298614957,17.141154190005537,0.0,1
4637014,AQU,2019-11-11,2,6,78,40.6734162759663,-73.8273495318092,600,D,FT ,38,MCL,52000.0,1228,119,John R. Velazquez,115,4,AQU_2019-11-11_2_6,0,AQU_2019-11-11_2,1994,Money Never Sleeps,2019-11-11 12:28:19.500,AQU_2019-11-11_2_1994,0.0051353339944766934,73.94880952046438,0.26,2
5155015,BEL,2019-10-13,7,1,293,40.716706312116,-73.7224574836371,1200,T,FM ,110,STK,100000.0,440,122,Jose Lezcano,1120,6,BEL_2019-10-13_7_1,0,BEL_2019-10-13_7,2946,Arrocha (BRZ),2019-10-13 16:41:13.250,BEL_2019-10-13_7_2946,0.004607284677927186,66.34489936215148,0.53,3
1508244,BEL,2019-09-14,9,1,13,40.7166732849208,-73.7210899049318,650,D,FT ,48,ALW,66000.0,518,121,Manuel Franco,1390,4,BEL_2019-09-14_9_1,0,BEL_2019-09-14_9,299,Foolish Ghost,2019-09-14 17:18:03.250,BEL_2019-09-14_9_299,0.00420174369661948,60.50510923132051,0.04,1
3390738,BEL,2019-06-08,11,9,318,40.7176459992131,-73.7247428585065,1200,D,FT ,78,STK,1500000.0,638,126,Tyler Gaffalione,365,9,BEL_2019-06-08_11_9,0,BEL_2019-06-08_11,3336,War of Will,2019-06-08 18:39:19.500,BEL_2019-06-08_11_3336,0.004755115772892241,68.47366712964828,0.58,3
3835767,BEL,2019-06-09,2,4,220,40.7171444575338,-73.7258690908996,850,I,FM ,54,MSW,62000.0,203,118,Eric Cancel,1080,5,BEL_2019-06-09_2_4,0,BEL_2019-06-09_2,3347,The Happy Giant,2019-06-09 14:03:55.000,BEL_2019-06-09_2_3347,0.0050966280049415036,73.39144327115766,0.57,3
85278,AQU,2019-02-18,8,7,195,40.6740895254661,-73.8307604509447,600,D,FT ,54,STK,100000.0,430,122,Jose Lezcano,150,3,AQU_2019-02-18_8_7,0,AQU_2019-02-18_8,139,Eye Luv Lulu,2019-02-18 16:30:48.750,AQU_2019-02-18_8_139,0.004881591460595037,70.29491703256853,0.67,3
3958191,BEL,2019-05-19,2,1,102,40.7156661182351,-73.7196727584842,850,I,FM ,70,MSW,80000.0,202,111,Benjamin Hernandez,4325,7,BEL_2019-05-19_2_1,0,BEL_2019-05-19_2,420,Binary,2019-05-19 14:02:25.500,BEL_2019-05-19_2_420,0.004603775776011572,66.29437117456663,0.25,2
34417,BEL,2019-05-18,8,3,74,40.7172843956462,-73.7234107130481,700,D,FT ,48,CLM,50000.0,341,123,Michael J. Luzzi,3500,7,BEL_2019-05-18_8_3,0,BEL_2019-05-18_8,527,Here Comes Tommy,2019-05-18 15:41:18.500,BEL_2019-05-18_8_527,0.005379002997343895,77.45764316175209,0.22,1
4733206,BEL,2019-09-11,1,4,263,40.7145236603927,-73.7270505482311,800,D,FT ,78,MSW,75000.0,303,119,Junior Alvarado,3100,2,BEL_2019-09-11_1_4,0,BEL_2019-09-11_1,2680,Forza Di Oro,2019-09-11 15:04:05.750,BEL_2019-09-11_1_2680,0.004586140518176065,66.04042346173534,0.68,3
3592454,SAR,2019-09-01,6,5,230,43.0735034566787,-73.7676505280014,700,D,FT ,32,CLM,60000.0,317,121,Javier Castellano,770,1,SAR_2019-09-01_6_5,1,SAR_2019-09-01_6,2754,Brush Country,2019-09-01 15:17:57.500,SAR_2019-09-01_6_2754,0.0051544999434368485,74.22479918549062,0.71,3
4178414,BEL,2019-10-18,6,1,230,40.7144361191389,-73.7261603501757,700,T,GD ,90,ALW,66000.0,409,120,Eric Cancel,1070,1,BEL_2019-10-18_6_1,1,BEL_2019-10-18_6,1485,Honorable Hero,2019-10-18 16:09:57.500,BEL_2019-10-18_6_1485,0.005133234773223663,73.91858073442074,0.69,3
5065633,SAR,2019-08-31,10,4,123,43.0729343484693,-73.7676986831747,1100,I,FM ,162,STK,250000.0,529,124,Jose L. Ortiz,165,3,SAR_2019-08-31_10_4,0,SAR_2019-08-31_10,2931,Santa Monica (GB),2019-08-31 17:29:30.750,SAR_2019-08-31_10_2931,0.004850187284073604,69.8426968906599,0.24,1
